name,M_train,M_test,d,H,f_star,f_star_source,f_w0,f_irls,f_dsm,f_skl,sgptl_start,gap_irls,gap_dsm,gap_skl,iter_irls,iter_dsm,spar_skl_1e6,spar_irls_1e6,spar_dsm_1e6,spar_skl_1e3,spar_irls_1e3,spar_dsm_1e3,mse_skl,mse_irls,mse_dsm,mse_ridge,f_cvxpy,gap_cvxpy,spar_cvxpy_1e3,spar_cvxpy_1e6,mse_cvxpy
diabetes,354,88,10,200,52.94876337078611,cvxpy-clarabel (5.294876e+01) vs irls (5.294876e+01),60.03337018828902,52.94876337083474,53.20920196386252,52.95012319124569,cold,4.8629544835421257e-11,0.26043859307640815,0.0013598204595766106,2000,8000,0.185,0.19,0.0,0.185,0.19,0.14,0.8967177902568721,0.8983146480943813,0.832169595992516,0.9424394184812095,52.94876337472629,3.940179738037841e-09,0.19,0.18,0.898314215417453
california,16512,4128,8,200,2358.019449150009,cvxpy-clarabel (2.358019e+03) vs irls (2.358019e+03),2358.479170325769,2358.01944915001,2399.434378107084,2360.83488663012,cold,9.094947017729282e-13,41.41492895707461,2.8154374801106314,2000,8000,0.02,0.04,0.0,0.02,0.04,0.0,0.30893574527528633,0.3072611901716308,0.30930152503255137,0.30729359115448784,2358.0194492155088,6.549953468493186e-08,0.04,0.035,0.3072611904556337
