algorithm,iteration,gap,record_gap,time_s
IRLS,0,3.4421674398585203,3.4421674398585203,0.0
IRLS,1,3.4421674397636477,3.4421674397636477,0.00011462500000014586
IRLS,2,3.4421674388546344,3.4421674388546344,0.0002325840000008128
IRLS,3,3.442167427714051,3.442167427714051,0.0003355840000001109
IRLS,4,3.4421672853388823,3.4421672853388823,0.0004457500000007997
IRLS,5,3.4421654258956162,3.4421654258956162,0.0005862920000003768
IRLS,6,3.4421407973296785,3.4421407973296785,0.0006986669999999862
IRLS,7,3.441811244685408,3.441811244685408,0.0008009170000002896
IRLS,8,3.437372418628257,3.437372418628257,0.0009040420000001603
IRLS,9,3.378373516581228,3.378373516581228,0.0010065840000006432
IRLS,10,2.7610962707187237,2.7610962707187237,0.0011045000000002858
IRLS,11,1.1695749566676406,1.1695749566676406,0.0012361670000000657
IRLS,12,0.5279937009785638,0.5279937009785638,0.0014611670000004295
IRLS,13,0.2214002614070789,0.2214002614070789,0.0015657920000000658
IRLS,14,0.16677205917423077,0.16677205917423077,0.001667500000000821
IRLS,15,0.15287263944767915,0.15287263944767915,0.0017680840000000586
IRLS,16,0.12573609246842632,0.12573609246842632,0.0018680840000007137
IRLS,17,0.10697553403582782,0.10697553403582782,0.0019711250000007396
IRLS,18,0.10293208621224936,0.10293208621224936,0.002070917000000172
IRLS,19,0.09912352676869407,0.09912352676869407,0.002157874999999976
IRLS,20,0.0854622342025988,0.0854622342025988,0.002245125000000847
IRLS,21,0.05569607343713989,0.05569607343713989,0.00233595900000072
IRLS,22,0.035821169205608516,0.035821169205608516,0.0024223750000000877
IRLS,23,0.032517769203850966,0.032517769203850966,0.00251262500000049
IRLS,24,0.03228346048372854,0.03228346048372854,0.002602917000000815
IRLS,25,0.03225798352992304,0.03225798352992304,0.0026890840000000082
IRLS,26,0.03221429480383042,0.03221429480383042,0.002775417000000502
IRLS,27,0.03207607344274788,0.03207607344274788,0.002861209000000642
IRLS,28,0.03163765674937746,0.03163765674937746,0.002976709000000355
IRLS,29,0.030297492116453162,0.030297492116453162,0.00314183400000001
IRLS,30,0.026639852762933902,0.026639852762933902,0.003244125000000153
IRLS,31,0.019268311016902295,0.019268311016902295,0.003341834000000432
IRLS,32,0.011302521157514622,0.011302521157514622,0.0034348750000008366
IRLS,33,0.007693382367763846,0.007693382367763846,0.003527459000000732
IRLS,34,0.006938653320579746,0.006938653320579746,0.0036194170000003467
IRLS,35,0.0068134261471166635,0.0068134261471166635,0.0037102090000002974
IRLS,36,0.006741172577176435,0.006741172577176435,0.003803250000000702
IRLS,37,0.006609192693232568,0.006609192693232568,0.003929417000000157
IRLS,38,0.006338846376116702,0.006338846376116702,0.004040792000000515
IRLS,39,0.005808771419171244,0.005808771419171244,0.004238750000000735
IRLS,40,0.004869126647611299,0.004869126647611299,0.004334084000000793
IRLS,41,0.0034851024603508307,0.0034851024603508307,0.004437584000000605
IRLS,42,0.001969283988306536,0.001969283988306536,0.004558250000000541
IRLS,43,0.0008467196891563944,0.0008467196891563944,0.0046546250000005784
IRLS,44,0.0002955037161895824,0.0002955037161895824,0.004754209000000564
IRLS,45,0.0001029197790654024,0.0001029197790654024,0.0048435840000005115
IRLS,46,4.935308266595939e-05,4.935308266595939e-05,0.004930792000000572
IRLS,47,3.627253513194262e-05,3.627253513194262e-05,0.005017959000000793
IRLS,48,3.3285470801613926e-05,3.3285470801613926e-05,0.005106000000000499
IRLS,49,3.262468443487876e-05,3.262468443487876e-05,0.005198084000000769
IRLS,50,3.2480073450802394e-05,3.2480073450802394e-05,0.00528762500000024
