algorithm,iteration,gap,record_gap,time_s
IRLS,102,1.448940e-06,1.448940e-06,4.348416e-03
IRLS,103,1.420147e-06,1.420147e-06,4.386458e-03
IRLS,104,1.392140e-06,1.392140e-06,4.424000e-03
IRLS,105,1.364890e-06,1.364890e-06,4.461833e-03
IRLS,106,1.338370e-06,1.338370e-06,4.500416e-03
IRLS,107,1.312554e-06,1.312554e-06,4.541000e-03
IRLS,108,1.287416e-06,1.287416e-06,4.581625e-03
IRLS,109,1.262933e-06,1.262933e-06,4.620166e-03
IRLS,110,1.239082e-06,1.239082e-06,4.657750e-03
IRLS,111,1.215840e-06,1.215840e-06,4.696166e-03
IRLS,112,1.193188e-06,1.193188e-06,4.733500e-03
IRLS,113,1.171106e-06,1.171106e-06,4.772708e-03
IRLS,114,1.149574e-06,1.149574e-06,4.809958e-03
IRLS,115,1.128575e-06,1.128575e-06,4.848041e-03
IRLS,116,1.108090e-06,1.108090e-06,4.885458e-03
IRLS,117,1.088104e-06,1.088104e-06,4.923791e-03
IRLS,118,1.068600e-06,1.068600e-06,4.961625e-03
IRLS,119,1.049563e-06,1.049563e-06,4.999541e-03
IRLS,120,1.030979e-06,1.030979e-06,5.038000e-03
IRLS,121,1.012832e-06,1.012832e-06,5.079041e-03
IRLS,122,9.951109e-07,9.951109e-07,5.119625e-03
IRLS,123,9.778011e-07,9.778011e-07,5.159416e-03
IRLS,124,9.608907e-07,9.608907e-07,5.198416e-03
IRLS,125,9.443675e-07,9.443675e-07,5.238916e-03
IRLS,126,9.282200e-07,9.282200e-07,5.279500e-03
IRLS,127,9.124373e-07,9.124373e-07,5.316708e-03
IRLS,128,8.970085e-07,8.970085e-07,5.359500e-03
IRLS,129,8.819234e-07,8.819234e-07,5.402000e-03
IRLS,130,8.671722e-07,8.671722e-07,5.441583e-03
IRLS,131,8.527452e-07,8.527452e-07,5.481750e-03
IRLS,132,8.386333e-07,8.386333e-07,5.522125e-03
IRLS,133,8.248277e-07,8.248277e-07,5.563875e-03
IRLS,134,8.113198e-07,8.113198e-07,5.600208e-03
IRLS,135,7.981013e-07,7.981013e-07,5.640875e-03
IRLS,136,7.851644e-07,7.851644e-07,5.681958e-03
IRLS,137,7.725013e-07,7.725013e-07,5.719000e-03
IRLS,138,7.601047e-07,7.601047e-07,5.759333e-03
IRLS,139,7.479673e-07,7.479673e-07,5.801166e-03
IRLS,140,7.360823e-07,7.360823e-07,5.837875e-03
IRLS,141,7.244430e-07,7.244430e-07,5.878708e-03
IRLS,142,7.130430e-07,7.130430e-07,5.919833e-03
IRLS,143,7.018759e-07,7.018759e-07,5.956666e-03
IRLS,144,6.909358e-07,6.909358e-07,5.997041e-03
IRLS,145,6.802168e-07,6.802168e-07,6.038958e-03
IRLS,146,6.697133e-07,6.697133e-07,6.075541e-03
IRLS,147,6.594198e-07,6.594198e-07,6.116250e-03
IRLS,148,6.493310e-07,6.493310e-07,6.158333e-03
IRLS,149,6.394417e-07,6.394417e-07,6.198708e-03
IRLS,150,6.297470e-07,6.297470e-07,6.239333e-03
IRLS,151,6.202422e-07,6.202422e-07,6.281375e-03
IRLS,152,6.109224e-07,6.109224e-07,6.318041e-03
IRLS,153,6.017833e-07,6.017833e-07,6.359083e-03
IRLS,154,5.928203e-07,5.928203e-07,6.400625e-03
IRLS,155,5.840293e-07,5.840293e-07,6.443916e-03
IRLS,156,5.754062e-07,5.754062e-07,6.485708e-03
IRLS,157,5.669468e-07,5.669468e-07,6.527458e-03
IRLS,158,5.586475e-07,5.586475e-07,6.568916e-03
IRLS,159,5.505043e-07,5.505043e-07,6.605750e-03
IRLS,160,5.425136e-07,5.425136e-07,6.645791e-03
IRLS,161,5.346719e-07,5.346719e-07,6.687750e-03
IRLS,162,5.269758e-07,5.269758e-07,6.724250e-03
