dataset,seed,family,c,delta0,scale,final_record_gap,n_contractions,n_iter
synthetic,11,C,1.0,9.708542e-01,9.708542e-01,7.956577e-05,26,8000
diabetes-H50,42,A,0.01,7.735759e-01,7.735759e+01,3.667693e-05,19,8000
diabetes-H50,42,A,0.05,3.867879e+00,7.735759e+01,3.505564e-05,24,8000
diabetes-H50,42,A,0.1,7.735759e+00,7.735759e+01,3.756483e-05,26,8000
diabetes-H50,42,A,0.5,3.867879e+01,7.735759e+01,1.396257e-01,67,8000
diabetes-H50,42,A,1.0,7.735759e+01,7.735759e+01,1.396377e-01,123,8000
diabetes-H50,42,B,0.01,7.542830e-01,7.542830e+01,1.374876e-05,19,8000
diabetes-H50,42,B,0.05,3.771415e+00,7.542830e+01,2.557773e-05,24,8000
diabetes-H50,42,B,0.1,7.542830e+00,7.542830e+01,3.133654e-05,26,8000
diabetes-H50,42,B,0.5,3.771415e+01,7.542830e+01,1.396043e-01,64,8000
diabetes-H50,42,B,1.0,7.542830e+01,7.542830e+01,1.396376e-01,81,8000
diabetes-H50,42,C,0.01,7.721795e-01,7.721795e+01,4.999482e-05,19,8000
diabetes-H50,42,C,0.05,3.860898e+00,7.721795e+01,3.022945e-05,24,8000
diabetes-H50,42,C,0.1,7.721795e+00,7.721795e+01,1.916096e-05,27,8000
diabetes-H50,42,C,0.5,3.860898e+01,7.721795e+01,1.395883e-01,63,8000
diabetes-H50,42,C,1.0,7.721795e+01,7.721795e+01,1.396377e-01,126,8000
diabetes-H200,42,A,0.01,6.003337e-01,6.003337e+01,1.145402e+00,5,8000
diabetes-H200,42,A,0.05,3.001669e+00,6.003337e+01,1.052897e+00,10,8000
diabetes-H200,42,A,0.1,6.003337e+00,6.003337e+01,7.740043e-01,13,8000
diabetes-H200,42,A,0.5,3.001669e+01,6.003337e+01,7.061722e+00,45,8000
diabetes-H200,42,A,1.0,6.003337e+01,6.003337e+01,7.084607e+00,231,8000
diabetes-H200,42,B,0.01,3.826432e-01,3.826432e+01,1.212577e+00,4,8000
diabetes-H200,42,B,0.05,1.913216e+00,3.826432e+01,1.088125e+00,9,8000
diabetes-H200,42,B,0.1,3.826432e+00,3.826432e+01,9.826733e-01,11,8000
diabetes-H200,42,B,0.5,1.913216e+01,3.826432e+01,5.916865e+00,26,8000
diabetes-H200,42,B,1.0,3.826432e+01,3.826432e+01,7.084607e+00,93,8000
diabetes-H200,42,C,0.01,5.294876e-01,5.294876e+01,1.152168e+00,5,8000
diabetes-H200,42,C,0.05,2.647438e+00,5.294876e+01,1.012263e+00,10,8000
diabetes-H200,42,C,0.1,5.294876e+00,5.294876e+01,8.940101e-01,12,8000
diabetes-H200,42,C,0.5,2.647438e+01,5.294876e+01,7.082376e+00,45,8000
diabetes-H200,42,C,1.0,5.294876e+01,5.294876e+01,7.084607e+00,170,8000
california-H50,42,A,0.01,2.766785e+01,2.766785e+03,2.702201e-02,260,8000
california-H50,42,A,0.05,1.383393e+02,2.766785e+03,2.702201e-02,853,8000
california-H50,42,A,0.1,2.766785e+02,2.766785e+03,2.702201e-02,1172,8000
california-H50,42,A,0.5,1.383393e+03,2.766785e+03,2.702201e-02,2106,8000
california-H50,42,A,1.0,2.766785e+03,2.766785e+03,2.702201e-02,2108,8000
california-H50,42,B,0.01,2.763764e+01,2.763764e+03,2.702201e-02,273,8000
california-H50,42,B,0.05,1.381882e+02,2.763764e+03,2.702201e-02,883,8000
california-H50,42,B,0.1,2.763764e+02,2.763764e+03,2.702201e-02,1288,8000
california-H50,42,B,0.5,1.381882e+03,2.763764e+03,2.702201e-02,2106,8000
california-H50,42,B,1.0,2.763764e+03,2.763764e+03,2.702201e-02,2108,8000
california-H50,42,C,0.01,2.766758e+01,2.766758e+03,2.702201e-02,275,8000
california-H50,42,C,0.05,1.383379e+02,2.766758e+03,2.702201e-02,816,8000
california-H50,42,C,0.1,2.766758e+02,2.766758e+03,2.702201e-02,1217,8000
california-H50,42,C,0.5,1.383379e+03,2.766758e+03,2.702201e-02,2106,8000
california-H50,42,C,1.0,2.766758e+03,2.766758e+03,2.702201e-02,2108,8000
california-H200,42,A,0.01,2.358479e+01,2.358479e+03,4.597212e-01,183,8000
california-H200,42,A,0.05,1.179240e+02,2.358479e+03,4.597212e-01,725,8000
california-H200,42,A,0.1,2.358479e+02,2.358479e+03,4.597212e-01,1217,8000
california-H200,42,A,0.5,1.179240e+03,2.358479e+03,4.597212e-01,2106,8000
california-H200,42,A,1.0,2.358479e+03,2.358479e+03,4.597212e-01,2108,8000
california-H200,42,B,0.01,2.344472e+01,2.344472e+03,4.597212e-01,185,8000
california-H200,42,B,0.05,1.172236e+02,2.344472e+03,4.597212e-01,724,8000
california-H200,42,B,0.1,2.344472e+02,2.344472e+03,4.597212e-01,1175,8000
california-H200,42,B,0.5,1.172236e+03,2.344472e+03,4.597212e-01,2106,8000
california-H200,42,B,1.0,2.344472e+03,2.344472e+03,4.597212e-01,2108,8000
california-H200,42,C,0.01,2.358019e+01,2.358019e+03,4.597212e-01,186,8000
california-H200,42,C,0.05,1.179010e+02,2.358019e+03,4.597212e-01,727,8000
california-H200,42,C,0.1,2.358019e+02,2.358019e+03,4.597212e-01,1224,8000
california-H200,42,C,0.5,1.179010e+03,2.358019e+03,4.597212e-01,2106,8000
california-H200,42,C,1.0,2.358019e+03,2.358019e+03,4.597212e-01,2108,8000
