n,m,t_irls,t_dsm,iter_irls,iter_dsm,flops_irls,flops_dsm
50,16512,0.0007245410233736038,0.9416492080199532,7,3000,54816266.66666667,14860800000
100,16512,0.0059255840023979545,2.0588507499778643,37,3000,303684533.3333334,29721600000
200,16512,0.04934566596057266,6.497653749946039,100,3000,1602231466.6666665,59443200000
500,16512,0.31376379198627546,18.28673454094678,100,3000,10012378666.666666,148608000000
1000,16512,1.2685745420167223,39.51247408299241,100,3000,53380757333.33333,297216000000
