t_cross_ms,t_full_ms,k_cross,n_iter,rel_final_gap,dataset
4.326957976445556,155.60999998706393,56,2000,-8.267163894148939e-10,diabetes
1.343583018751815,1045.660667004995,3,2000,-6.437379716292039e-13,california
