rho,final_record_gap,n_iter,final_f
0.3,1.984314019498612e-05,5000,2.3129583925868658
0.5,2.2819593430201124e-05,5000,2.312961369040101
0.7,0.00010198567429986483,5000,2.3130405351209706
0.8,0.00015058217116070693,5000,2.3130891316178315
0.9,0.00037139207323289014,5000,2.3133099415199037
0.95,0.0008115219853421785,5000,2.313750071432013
