dataset,M,H,t_ols_setup_ms,t_irls_warm_ms,t_irls_cold_ms,iter_irls_warm,iter_irls_cold,total_warm_ms,share_warm_pct
diabetes,354,200,0.13225000293459743,165.49958300311118,168.97074998996686,2000,2000,165.63183300604578,0.07984576426789296
california,16512,200,2.8962090000277385,1577.3050420102663,1374.5304580079392,2000,2000,1580.201251010294,0.1832810218430128
