dataset,k_cross,t_cross_s,t_cross_ms,gap_at_cross,rel_gap_at_cross,fstar,i_max_used
diabetes,56346,1.113047999999253,1113.047999999253,4.999059119370486e-05,9.441314200722704e-07,52.94876341460835,90000
california,296608,566.832476917014,566832.476917014,0.0023257897714756837,9.863318864110977e-07,2358.0194491515276,360000
