n,m,t_irls,t_dsm,iter_irls,iter_dsm,flops_irls,flops_dsm
50,250,0.0025921670021489263,0.08503362501505762,100,3000,7816666.666666666,225000000
100,500,0.00639674998819828,0.06604737497400492,100,3000,50433333.33333333,900000000
500,2500,0.05501599999843165,0.6717439999920316,100,3000,5094166666.666666,22500000000
1000,5000,0.5459563750191592,7.93742737499997,100,3000,39543333333.33333,90000000000
2000,10000,3.271321708045434,34.28066312504234,100,3000,311506666666.6666,360000000000
