instance,c,f_star,f_w_ols,gap_ideal,gap_proxy,gap_naive,ratio_proxy_ideal
easy,0.05,0.8931472343102266,1.0102017067726858,63.794091554124414,34.545905930788244,0.000537852732385824,0.5415220295358965
easy,0.1,0.8931472343102266,1.0102017067726858,0.003807642767857944,0.0028034547981874436,0.0006642721422290832,0.7362704353078207
easy,0.5,0.8931472343102266,1.0102017067726858,0.0010061891801672607,0.000677653641626641,0.0006148016983810178,0.6734853196433631
easy,1.0,0.8931472343102266,1.0102017067726858,0.0008109456228253542,0.0008573245986301936,0.0006467406793676522,1.0571912277462623
moderate,0.05,5.40860422587092,5.450752417473233,1629.4940232586248,1618.9583151230647,0.0004951695281540935,0.9935343683467516
moderate,0.1,5.40860422587092,5.450752417473233,278.0338434640659,256.9815771506432,0.00034100651336377297,0.9242816412163019
moderate,0.5,5.40860422587092,5.450752417473233,0.000723674512861372,0.0005842162379323668,0.0004518251671852269,0.8072914377244069
moderate,1.0,5.40860422587092,5.450752417473233,0.0007500512523304081,0.0007139017587602936,0.0008920883699357063,0.9518039687850689
hard,0.05,27.27443841996528,27.286392875897135,16.62326514906539,20.959459605533652,0.0016715784624210528,1.2608509470061637
hard,0.1,27.27443841996528,27.286392875897135,0.00534968425290927,0.0033569059943943103,0.00035563311030628597,0.6274960980302257
hard,0.5,27.27443841996528,27.286392875897135,0.0006617522476268789,0.0010084083002226407,0.0006972022421614099,1.523845674629608
hard,1.0,27.27443841996528,27.286392875897135,8.181654813199657e-05,0.00039913618162401576,0.0007463205497515446,4.878428517664665
